SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Austria,AUT,Location,Children,Rural,99.89376463164498,"Households with children under 16. | Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-07
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Austria,AUT,Location,Urban,,94.24600245728824,"Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2025,Austria,AUT,Location,Rural,,89.01320877641274,"Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-06
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Austria,AUT,Location,No Children,Rural,85.66805421416409,"Households with no children under 16. | Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-07
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2025,Austria,AUT,Family,Children,,99.96336325407046,Households with children under 16.,Statistik Austria,2026-07-07
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Austria,AUT,Location,Children,Urban,100,"Households with children under 16. | Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-07
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Austria,AUT,Location,No Children,Urban,92.69292391720259,"Households with no children under 16. | Degree of urbanisation as classified according to the European Commissions: 1) cities, 2) towns and semi-dense areas, 3) rural areas. For the ITU questionnaire 1) and 2) were combined to ""urban"".",Statistik Austria,2026-07-07
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Austria,AUT,Family,No Children,,90.47051634565393,Households with no children under 16.,Statistik Austria,2026-07-07
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Austria,AUT,,,,92.55740648,,Statistik Austria,2026-01-15
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Azerbaijan,AZE,,,,90.19998152,,State Statistical Committee of the Republic of Azerbaijan,2026-01-15
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2025,Azerbaijan,AZE,Location,Rural,,87.01441883937416,,State Statistical Committee of the Republic of Azerbaijan,2026-07-06
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Azerbaijan,AZE,Location,Urban,,92.69997455650906,,State Statistical Committee of the Republic of Azerbaijan,2026-07-05
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,Children,Rural,89.47170444924411,,CETIC.br/NIC.br,2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,Rural,,80.91637566533237,,CETIC.br/NIC.br,2026-07-05
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Brazil,BRA,Location,No Children,Rural,75.03663764456348,,CETIC.br/NIC.br,2026-07-05
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Brazil,BRA,Family,No Children,,81.82509793778264,,CETIC.br/NIC.br,2026-07-07
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,Children,Urban,95.31791508229081,,CETIC.br/NIC.br,2026-07-04
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,No Children,Urban,82.6067603769513,,CETIC.br/NIC.br,2026-07-05
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2025,Brazil,BRA,Family,Children,,94.55393688767079,,CETIC.br/NIC.br,2026-07-07
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Brazil,BRA,Location,Urban,,86.99055474882027,,CETIC.br/NIC.br,2026-07-05
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Brazil,BRA,,,,86.30473645,,NIC.br,2026-07-08
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Belgium,BEL,,,,94.68105189,households with at least one member aged 16 to 74; no collective households,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-08
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Belgium,BEL,Family,No Children,,93.20757505895953,,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-07
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Belgium,BEL,Location,Urban,,94.8124527801468,,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-05
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Belgium,BEL,Location,Children,Urban,99.35921708281569,,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-04
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Belgium,BEL,Location,No Children,Urban,93.42920059801472,,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-05
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2025,Belgium,BEL,Family,Children,,99.45153842445194,,Statbel (Directorate General Statistics - Statistics Belgium),2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2025,Belgium,BEL,Location,Rural,,93.83261088495867,,Statbel (Directorate General Statistics - Statistics Belgium),2026-06-25
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Belgium,BEL,Location,Children,Rural,100,,Statbel (Directorate General Statistics - Statistics Belgium),2026-06-25
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Belgium,BEL,Location,No Children,Rural,91.73791152588177,,Statbel (Directorate General Statistics - Statistics Belgium),2026-06-25
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,Children,Rural,99.45171845170285,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,Rural,,90.66613002654331,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,Children,Urban,100,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2025,Belarus,BLR,Family,Children,,99.88906209049544,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,No Children,Urban,94.75042153072145,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Belarus,BLR,Family,No Children,,93.21794787001322,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Belarus,BLR,Location,Urban,,96.00382856159882,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Belarus,BLR,Location,No Children,Rural,88.52603595133164,,National Statistical Committee of the Republic of Belarus (Belstat),2026-05-16
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Belarus,BLR,,,,94.74319647,,National Statistical Committee of the Republic of Belarus (Belstat),2026-07-08
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2025,Bulgaria,BGR,,,,86.50048142,,National Statistical Institute,2026-07-08
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2025,Bulgaria,BGR,Family,No Children,,85.04755720545775,,National Statistical Institute,2026-06-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2025,Bulgaria,BGR,Location,Urban,,89.9402855167724,,National Statistical Institute,2026-06-05
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2025,Bulgaria,BGR,Location,No Children,Rural,73.94901624438154,,National Statistical Institute,2026-06-05
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2025,Bulgaria,BGR,Location,Children,Rural,99.06687655182486,,National Statistical Institute,2026-06-05
