SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
9073,HHU271-%_POP-25TO74-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - 25TO74 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,25 to 74 years,Male,95.10629838804147,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9108,HHU271-%_POP-ISCO7-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO7,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,Craft and related trades workers,,99.40001361748484,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9142,HHU271-%_POP-URBAN-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - URBAN - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Urban,Female,93.3829475912967,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9087,HHU271-%_POP-ISCO0-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO0,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,Armed Forces Occupations,,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9139,HHU271-%_POP-UNEMP-,HH10 - Individuals using a mobile cellular telephone - %_POP - UNEMP,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Labour force,Unemployed,,94.00012752120041,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9125,HHU271-%_POP-NOTCLASS-FEMALE,HH10 - Individuals using a mobile cellular telephone - %_POP - NOTCLASS - FEMALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Not classifiable,Female,47.53350524401129,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9111,HHU271-%_POP-ISCO8-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO8,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,"Plant and machine operators, and assemblers",,99.20012908579595,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9099,HHU271-%_POP-ISCO4-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO4,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,Clerical support workers,,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9077,HHU271-%_POP-ISCED01-MALE,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCED01 - MALE,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Gender,Primary or less,Male,93.68361721940029,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
9090,HHU271-%_POP-ISCO1-,HH10 - Individuals using a mobile cellular telephone - %_POP - ISCO1,% of individuals,ITU Households Database,2025,Azerbaijan,AZE,Occupation,Managers,,100,,State Statistical Committee of the Republic of Azerbaijan,2026-07-07
