SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
11624,i99H,Internet users (%),% of individuals,ITU World Telecommunication Indicators Database,2025,Austria,AUT,,,,91.92573373,Aged 16-89.,Statistik Austria,2026-01-15
9299,HHU4212-%_POP-URBAN-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - URBAN - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Urban,Male,95.28222772813976,,Statistik Austria,2026-07-07
9268,HHU4212-%_POP-ISCO8-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO8 - FEMALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,"Plant and machine operators, and assemblers",Female,99.10861213213062,,Statistik Austria,2026-07-07
9283,HHU4212-%_POP-NOTLABOUR-,HH07 - Individuals who used the internet (from any location) - %_POP - NOTLABOUR,% of individuals,ITU Households Database,2025,Austria,AUT,Labour force,Not in labour force,,81.95708357885235,,Statistik Austria,2026-07-07
9271,HHU4212-%_POP-ISCO9-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO9 - FEMALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Elementary occupations,Female,96.53908092732053,,Statistik Austria,2026-07-07
9297,HHU4212-%_POP-UNEMP-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - UNEMP - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Unemployed,Male,98.0288398846827,,Statistik Austria,2026-07-07
9277,HHU4212-%_POP-ABOVE74-,HH07 - Individuals who used the internet (from any location) - %_POP - ABOVE74,% of individuals,ITU Households Database,2025,Austria,AUT,Age,75 years and older,,62.58573293120197,,Statistik Austria,2026-07-07
9289,HHU4212-%_POP-RURAL-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - RURAL - FEMALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Rural,Female,86.7157447554803,,Statistik Austria,2026-07-07
9255,HHU4212-%_POP-ISCO4-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO4,% of individuals,ITU Households Database,2025,Austria,AUT,Occupation,Clerical support workers,,98.81016570572167,,Statistik Austria,2026-07-07
9264,HHU4212-%_POP-ISCO7-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO7,% of individuals,ITU Households Database,2025,Austria,AUT,Occupation,Craft and related trades workers,,96.8265645659499,,Statistik Austria,2026-07-07
9263,HHU4212-%_POP-ISCO6-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO6 - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,"Skilled agricultural, forestry and fishery workers",Male,89.33851751072383,,Statistik Austria,2026-07-07
9260,HHU4212-%_POP-ISCO5-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO5 - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Service and sales workers,Male,97.97975090985791,,Statistik Austria,2026-07-07
9224,HHU4212-%_POP-15TO24-,HH07 - Individuals who used the internet (from any location) - %_POP - 15TO24,% of individuals,ITU Households Database,2025,Austria,AUT,Age,15 to 24 years,,100,Individuals aged 16-24 years.,Statistik Austria,2026-07-07
9281,HHU4212-%_POP-NOTCLASS-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - NOTCLASS - FEMALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Not classifiable,Female,100,,Statistik Austria,2026-07-07
9256,HHU4212-%_POP-ISCO4-FEMALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO4 - FEMALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Clerical support workers,Female,98.77432710784664,,Statistik Austria,2026-07-07
9294,HHU4212-%_POP-SELFEMP-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - SELFEMP - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Self employee,Male,97.54298649169323,,Statistik Austria,2026-07-07
9285,HHU4212-%_POP-NOTLABOUR-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - NOTLABOUR - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Not in labour force,Male,84.34247442037565,,Statistik Austria,2026-07-07
9248,HHU4212-%_POP-ISCO1-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO1 - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Managers,Male,100,,Statistik Austria,2026-07-07
9236,HHU4212-%_POP-ISCED2-MALE,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2 - MALE,% of individuals,ITU Households Database,2025,Austria,AUT,Gender,Lower secondary,Male,86.46349088222888,,Statistik Austria,2026-07-07
9234,HHU4212-%_POP-ISCED2-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCED2,% of individuals,ITU Households Database,2025,Austria,AUT,Education,Lower secondary,,81.41808914687442,,Statistik Austria,2026-07-07
9261,HHU4212-%_POP-ISCO6-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO6,% of individuals,ITU Households Database,2025,Austria,AUT,Occupation,"Skilled agricultural, forestry and fishery workers",,87.50284675382339,,Statistik Austria,2026-07-07
9252,HHU4212-%_POP-ISCO3-,HH07 - Individuals who used the internet (from any location) - %_POP - ISCO3,% of individuals,ITU Households Database,2025,Austria,AUT,Occupation,Technician and associate professionals,,99.39023581746225,,Statistik Austria,2026-07-07
