"MUNICIPIO","TIPO DE EMPRESA","ENTIDAD","TIENE RESIDUOS POSTCONSUMO EN SU CASA?","DONDE ENTREGA LOS RESIDUOS","SABE QUE SIGNIFICA LA SIGLA RAEE","HA PARTICIPADO EN LAS JORNADAS DE RECOLECCION DE RESIDUOS POSTCONSUMO RAEE","COMO SE ENTERARON DE ESTA JORNADA","HA USADO APLICACIONES","UTILIZARIA UNA APP PARA RAEE?"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","PUBLICACIÓN EN SEDE  ELECTRÓNICA, CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION DE NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA, CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION  NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"VILLA DEL ROSARIO","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"VILLA DEL ROSARIO","PUBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","No"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE N DE S","SI","LOS ENTREGA A LA EMPRESA DEL ASEO, LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","No"
"CÚCUTA","PÚBLICA","GOBERNACIÓN SECRETARÍA TIC","NO","LOS DEJO EN CASA","NO","NO","PÁGINA OFICIAL DE LA GOBERNACIÓN","NO","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"TOLEDO","PÚBLICA","ALCALDÍA DE TOLEDO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, PUBLICACIÓN EN SEDE  ELECTRÓNICA, RADIO","SI","Sí"
"SANTIAGO","PÚBLICA","ALCALDÍA DE SANTIAGO","NO","LOS DEJO EN CASA","SI","SI","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN DE NORTE DE SANTANDER","NO","LOS ENTREGA A LA EMPRESA DEL ASEO, LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","COLEGIO FRAY MANUEL ALVAREZ","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","TOLEDO PLATA","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN NORTE DE SANTANDER","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA","NO","Sí"
"CÚCUTA","PÚBLICA","IMSALUD","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","IDS NORTE DE SANTANDER","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACION DE NORTE DE SANTANDER","SI","LOS ENTREGA A LA EMPRESA DEL ASEO, LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","INFORMACIÓN DIRECTA, PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","PRIVADA","UNIVERSIDAD SIMÓN BOLÍVAR","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, INFORMACIÓN DIRECTA","SI","Sí"
"LOS PATIOS","PÚBLICA","ALCALDÍA DE LOS PATIOS","NO","LOS DEJO EN CASA","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"LOS PATIOS","PÚBLICA","ALCALDIA DE LOS PATIOS","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","REDES SOCIALES, CORREO ELECTRÓNICO","SI","Sí"
"CÚCUTA","PÚBLICA","SECRETARÍA EDUCACIÓN DEPARTAMENTAL","NO","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","INFORMACIÓN DIRECTA","SI","Sí"
"SALAZAR DE LAS PALMAS","PÚBLICA","CER MONTECRISTO","SI","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","PÚBLICA","GOBERNACIÓN","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACION DIRECTA","SI","No"
"CÚCUTA","ESTUDIANTE","GREMIOS UNIDOS","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","CAROLINAFMODA","NO","LOS DEJO EN CASA","SI","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","ESTUDIANTE","I. E. SAGRADO CORAZON DE JESUS","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","NO SABIA QUE EXISTE","SI","No me interesa el tema"
"LOS PATIOS","DESEMPLEADO","DESEMPLEADO","NO","LOS DEJO EN CASA","NO","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","PÚBLICA","COLEGIO SAGRADO CORAZON DE JESUS","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","INFORMACION DIRECTA","NO","N/A"
"CÚCUTA","ESTUDIANTE","SAGRADO CORAZÓN DE JESÚS","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","NO","NO","NO SABIA QUE EXISTE","NO","No"
"CÚCUTA","PRIVADA","EMPRESA DE VENTA DE ARTÍCULOS ELECTRÓNICOS","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","No me interesa el tema"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","No"
"CÚCUTA","DESEMPLEADO","DESEMPLEADO","NO","LOS DEJO EN CASA","SI","NO","PUBLICACIÓN EN SEDE  ELECTRÓNICA","SI","Sí"
"CÚCUTA","DESEMPLEADO","SENA","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES, TELEVISIÓN","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","GREMIOS UNIDOS","NO","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","NO SABIA QUE EXISTE","NO","No"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS DEJO EN CASA","NO","NO","INFORMACION DIRECTA","NO","Ninguno"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS ENTREGA A LOS PUNTOS DE RECOLECCIÓN AUTORIZADOS (GESTORES DE RECOLECCIÓN DE RESIDUOS POSTCONSUMO)","SI","SI","RADIO","NO","No conozco de tecnología"
