departamento,anio,indicador,valor,nivel,fuente,unidad
TOTAL NACIONAL,2020,pct_hogares_computador_tablet,39.30685562393709,nacional,DANE_ENTIC_Hogares,%
TOTAL NACIONAL,2020,pct_hogares_internet,56.526239890461774,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2020,pct_hogares_computador_tablet,10.872063076984032,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2020,pct_hogares_internet,15.594912635207416,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2020,pct_hogares_computador_tablet,42.08527261591538,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2020,pct_hogares_internet,57.96647726881725,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2020,pct_hogares_computador_tablet,16.45332616533966,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2020,pct_hogares_internet,36.01267993363427,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2020,pct_hogares_computador_tablet,42.94198962190098,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2020,pct_hogares_internet,58.62806254645484,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2020,pct_hogares_computador_tablet,63.750708173201055,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2020,pct_hogares_internet,77.98717208097972,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2020,pct_hogares_computador_tablet,23.990836595090904,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2020,pct_hogares_internet,30.670123520015608,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2020,pct_hogares_computador_tablet,33.20429304977538,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2020,pct_hogares_internet,59.543391074726834,nacional,DANE_ENTIC_Hogares,%
CALDAS,2020,pct_hogares_computador_tablet,41.09863005475961,nacional,DANE_ENTIC_Hogares,%
CALDAS,2020,pct_hogares_internet,57.57589813129756,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2020,pct_hogares_computador_tablet,24.430567718844003,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2020,pct_hogares_internet,42.465064920229985,nacional,DANE_ENTIC_Hogares,%
CASANARE,2020,pct_hogares_computador_tablet,34.59215113921998,nacional,DANE_ENTIC_Hogares,%
CASANARE,2020,pct_hogares_internet,54.83121165436904,nacional,DANE_ENTIC_Hogares,%
CAUCA,2020,pct_hogares_computador_tablet,22.42681450646799,nacional,DANE_ENTIC_Hogares,%
CAUCA,2020,pct_hogares_internet,33.75585181851706,nacional,DANE_ENTIC_Hogares,%
CESAR,2020,pct_hogares_computador_tablet,25.003727171077152,nacional,DANE_ENTIC_Hogares,%
CESAR,2020,pct_hogares_internet,46.45759011767211,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2020,pct_hogares_computador_tablet,12.942286178077083,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2020,pct_hogares_internet,13.224713185776645,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2020,pct_hogares_computador_tablet,17.34543029688278,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2020,pct_hogares_internet,30.24748058193157,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2020,pct_hogares_computador_tablet,40.159286483832695,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2020,pct_hogares_internet,57.12011491901573,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2020,pct_hogares_computador_tablet,13.829923273657288,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2020,pct_hogares_internet,18.938618925831204,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2020,pct_hogares_computador_tablet,24.44326792627643,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2020,pct_hogares_internet,30.194235796300582,nacional,DANE_ENTIC_Hogares,%
HUILA,2020,pct_hogares_computador_tablet,30.518543809483162,nacional,DANE_ENTIC_Hogares,%
HUILA,2020,pct_hogares_internet,44.24025151864339,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2020,pct_hogares_computador_tablet,11.015338924419096,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2020,pct_hogares_internet,21.455594741904456,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2020,pct_hogares_computador_tablet,24.07794273989101,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2020,pct_hogares_internet,38.30202192170537,nacional,DANE_ENTIC_Hogares,%
META,2020,pct_hogares_computador_tablet,35.93630121353283,nacional,DANE_ENTIC_Hogares,%
META,2020,pct_hogares_internet,55.52112064105772,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2020,pct_hogares_computador_tablet,26.298007502532993,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2020,pct_hogares_internet,40.615934361264,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2020,pct_hogares_computador_tablet,32.11018211333423,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2020,pct_hogares_internet,57.31546347882962,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2020,pct_hogares_computador_tablet,20.18995515838955,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2020,pct_hogares_internet,30.62304971081573,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2020,pct_hogares_computador_tablet,39.758180587725064,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2020,pct_hogares_internet,57.43997407375635,nacional,DANE_ENTIC_Hogares,%
RISARALDA,2020,pct_hogares_computador_tablet,45.14422085214641,nacional,DANE_ENTIC_Hogares,%
RISARALDA,2020,pct_hogares_internet,63.49355962503724,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2020,pct_hogares_computador_tablet,36.91330061658488,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2020,pct_hogares_internet,32.47137284509878,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2020,pct_hogares_computador_tablet,39.95774161219986,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2020,pct_hogares_internet,62.9316359371049,nacional,DANE_ENTIC_Hogares,%
SUCRE,2020,pct_hogares_computador_tablet,19.657860403243784,nacional,DANE_ENTIC_Hogares,%
SUCRE,2020,pct_hogares_internet,26.119847531895147,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2020,pct_hogares_computador_tablet,32.645757390138485,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2020,pct_hogares_internet,62.13649000012851,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2020,pct_hogares_computador_tablet,47.33976258162023,nacional,DANE_ENTIC_Hogares,%
