nivel,fuente,pais_region,anio,variable,valor,unidad
global,OWID,Africa (UN),2010,pct_raee_reciclado,0.11,%
global,OWID,Africa (UN),2011,pct_raee_reciclado,0.11,%
global,OWID,Africa (UN),2012,pct_raee_reciclado,0.0,%
global,OWID,Africa (UN),2013,pct_raee_reciclado,0.0,%
global,OWID,Africa (UN),2014,pct_raee_reciclado,0.0,%
global,OWID,Africa (UN),2015,pct_raee_reciclado,0.72,%
global,OWID,Africa (UN),2016,pct_raee_reciclado,0.71,%
global,OWID,Africa (UN),2017,pct_raee_reciclado,0.7,%
global,OWID,Africa (UN),2018,pct_raee_reciclado,0.72,%
global,OWID,Africa (UN),2019,pct_raee_reciclado,0.73,%
global,OWID,Africa (UN),2020,pct_raee_reciclado,0.73,%
global,OWID,Africa (UN),2021,pct_raee_reciclado,0.72,%
global,OWID,Africa (UN),2022,pct_raee_reciclado,0.71,%
global,OWID,Asia (UN),2010,pct_raee_reciclado,7.77,%
global,OWID,Asia (UN),2011,pct_raee_reciclado,6.42,%
global,OWID,Asia (UN),2012,pct_raee_reciclado,4.65,%
global,OWID,Asia (UN),2013,pct_raee_reciclado,12.41,%
global,OWID,Asia (UN),2014,pct_raee_reciclado,11.28,%
global,OWID,Asia (UN),2015,pct_raee_reciclado,11.64,%
global,OWID,Asia (UN),2016,pct_raee_reciclado,11.9,%
global,OWID,Asia (UN),2017,pct_raee_reciclado,11.85,%
global,OWID,Asia (UN),2018,pct_raee_reciclado,11.94,%
global,OWID,Asia (UN),2019,pct_raee_reciclado,11.99,%
global,OWID,Asia (UN),2020,pct_raee_reciclado,12.16,%
global,OWID,Asia (UN),2021,pct_raee_reciclado,12.06,%
global,OWID,Asia (UN),2022,pct_raee_reciclado,11.84,%
global,OWID,Australia,2019,pct_raee_reciclado,54.33,%
global,OWID,Australia and New Zealand (UN SDG),2012,pct_raee_reciclado,8.29,%
global,OWID,Australia and New Zealand (UN SDG),2013,pct_raee_reciclado,7.84,%
global,OWID,Australia and New Zealand (UN SDG),2014,pct_raee_reciclado,7.85,%
global,OWID,Australia and New Zealand (UN SDG),2015,pct_raee_reciclado,9.11,%
global,OWID,Australia and New Zealand (UN SDG),2016,pct_raee_reciclado,9.12,%
global,OWID,Australia and New Zealand (UN SDG),2017,pct_raee_reciclado,9.12,%
global,OWID,Australia and New Zealand (UN SDG),2018,pct_raee_reciclado,9.12,%
global,OWID,Australia and New Zealand (UN SDG),2019,pct_raee_reciclado,42.87,%
global,OWID,Australia and New Zealand (UN SDG),2020,pct_raee_reciclado,42.76,%
global,OWID,Australia and New Zealand (UN SDG),2021,pct_raee_reciclado,42.8,%
global,OWID,Australia and New Zealand (UN SDG),2022,pct_raee_reciclado,42.76,%
global,OWID,Austria,2005,pct_raee_reciclado,73.1,%
global,OWID,Austria,2006,pct_raee_reciclado,79.5,%
global,OWID,Austria,2007,pct_raee_reciclado,78.7,%
global,OWID,Austria,2008,pct_raee_reciclado,79.7,%
global,OWID,Austria,2009,pct_raee_reciclado,79.0,%
global,OWID,Austria,2010,pct_raee_reciclado,79.9,%
global,OWID,Austria,2011,pct_raee_reciclado,81.5,%
global,OWID,Austria,2012,pct_raee_reciclado,80.0,%
global,OWID,Austria,2013,pct_raee_reciclado,79.0,%
global,OWID,Austria,2014,pct_raee_reciclado,79.6,%
global,OWID,Austria,2015,pct_raee_reciclado,81.1,%
global,OWID,Austria,2016,pct_raee_reciclado,81.8,%
global,OWID,Austria,2017,pct_raee_reciclado,80.2,%
global,OWID,Austria,2018,pct_raee_reciclado,79.8,%
global,OWID,Bangladesh,2020,pct_raee_reciclado,96.09,%
global,OWID,Bangladesh,2021,pct_raee_reciclado,96.56,%
global,OWID,Belarus,2022,pct_raee_reciclado,26.82,%
global,OWID,Belarus,2023,pct_raee_reciclado,28.01,%
global,OWID,Belgium,2005,pct_raee_reciclado,73.8,%
global,OWID,Belgium,2006,pct_raee_reciclado,76.7,%
global,OWID,Belgium,2007,pct_raee_reciclado,79.9,%
global,OWID,Belgium,2008,pct_raee_reciclado,77.0,%
global,OWID,Belgium,2009,pct_raee_reciclado,78.0,%
global,OWID,Belgium,2010,pct_raee_reciclado,80.2,%
global,OWID,Belgium,2011,pct_raee_reciclado,77.7,%
global,OWID,Belgium,2012,pct_raee_reciclado,78.4,%
global,OWID,Belgium,2013,pct_raee_reciclado,79.1,%
global,OWID,Belgium,2014,pct_raee_reciclado,76.7,%
global,OWID,Belgium,2015,pct_raee_reciclado,77.4,%
global,OWID,Belgium,2016,pct_raee_reciclado,72.5,%
global,OWID,Belgium,2017,pct_raee_reciclado,75.1,%
global,OWID,Belgium,2018,pct_raee_reciclado,72.5,%
global,OWID,Bulgaria,2007,pct_raee_reciclado,63.8,%
global,OWID,Bulgaria,2008,pct_raee_reciclado,65.1,%
global,OWID,Bulgaria,2009,pct_raee_reciclado,76.3,%
global,OWID,Bulgaria,2010,pct_raee_reciclado,78.4,%
global,OWID,Bulgaria,2011,pct_raee_reciclado,82.3,%
global,OWID,Bulgaria,2012,pct_raee_reciclado,84.0,%
global,OWID,Bulgaria,2013,pct_raee_reciclado,83.5,%
global,OWID,Bulgaria,2014,pct_raee_reciclado,84.9,%
global,OWID,Bulgaria,2015,pct_raee_reciclado,85.6,%
global,OWID,Bulgaria,2016,pct_raee_reciclado,81.5,%
global,OWID,Bulgaria,2017,pct_raee_reciclado,83.7,%
global,OWID,Bulgaria,2018,pct_raee_reciclado,81.0,%
global,OWID,Canada,2010,pct_raee_reciclado,70.75,%
global,OWID,Canada,2012,pct_raee_reciclado,67.3,%
global,OWID,Canada,2014,pct_raee_reciclado,66.11,%
global,OWID,Canada,2016,pct_raee_reciclado,62.08,%
global,OWID,Canada,2018,pct_raee_reciclado,23.18,%
global,OWID,Canada,2020,pct_raee_reciclado,21.04,%
global,OWID,Canada,2022,pct_raee_reciclado,20.58,%
global,OWID,Central and Southern Asia (UN SDG),2015,pct_raee_reciclado,0.0,%
global,OWID,Central and Southern Asia (UN SDG),2016,pct_raee_reciclado,0.83,%
global,OWID,Central and Southern Asia (UN SDG),2017,pct_raee_reciclado,1.09,%
global,OWID,Central and Southern Asia (UN SDG),2018,pct_raee_reciclado,1.09,%
global,OWID,Central and Southern Asia (UN SDG),2019,pct_raee_reciclado,1.1,%
global,OWID,Central and Southern Asia (UN SDG),2020,pct_raee_reciclado,1.1,%
global,OWID,Central and Southern Asia (UN SDG),2021,pct_raee_reciclado,1.11,%
global,OWID,Central and Southern Asia (UN SDG),2022,pct_raee_reciclado,1.11,%
global,OWID,Colombia,2021,pct_raee_reciclado,2.26,%
global,OWID,Costa Rica,2019,pct_raee_reciclado,7.62,%
global,OWID,Costa Rica,2020,pct_raee_reciclado,7.41,%
global,OWID,Costa Rica,2021,pct_raee_reciclado,8.16,%
global,OWID,Costa Rica,2022,pct_raee_reciclado,8.47,%
global,OWID,Costa Rica,2023,pct_raee_reciclado,8.56,%
global,OWID,Croatia,2012,pct_raee_reciclado,92.3,%
global,OWID,Croatia,2013,pct_raee_reciclado,97.4,%
global,OWID,Croatia,2014,pct_raee_reciclado,95.7,%
global,OWID,Croatia,2015,pct_raee_reciclado,92.5,%
global,OWID,Croatia,2016,pct_raee_reciclado,96.3,%
global,OWID,Croatia,2017,pct_raee_reciclado,95.2,%
global,OWID,Croatia,2018,pct_raee_reciclado,91.2,%
global,OWID,Cyprus,2009,pct_raee_reciclado,79.2,%
global,OWID,Cyprus,2010,pct_raee_reciclado,71.6,%
global,OWID,Cyprus,2011,pct_raee_reciclado,78.9,%
global,OWID,Cyprus,2012,pct_raee_reciclado,86.6,%
global,OWID,Cyprus,2013,pct_raee_reciclado,80.3,%
global,OWID,Cyprus,2014,pct_raee_reciclado,89.4,%
global,OWID,Cyprus,2015,pct_raee_reciclado,91.0,%
global,OWID,Cyprus,2016,pct_raee_reciclado,87.8,%
global,OWID,Cyprus,2017,pct_raee_reciclado,78.3,%
global,OWID,Czechia,2007,pct_raee_reciclado,75.4,%
global,OWID,Czechia,2008,pct_raee_reciclado,75.7,%
global,OWID,Czechia,2009,pct_raee_reciclado,74.8,%
